education,skills,interests,certifications_count,career
Master,"React,JavaScript,API Development,Data Structures,Java,Algorithms,Git,AWS","Problem Solving,Mobile Apps",0,Software Engineer
Master,"Risk Assessment,Python,Penetration Testing,SIEM,Network Security,Firewalls,Cryptography,Linux",Ethical Hacking,1,Cybersecurity Analyst
Bachelor,"Ethical Hacking,Risk Assessment,Linux,SIEM,Cryptography,Penetration Testing",Risk Management,1,Cybersecurity Analyst
Bachelor,"User Research,Prototyping,Usability Testing,Figma,Design Thinking,Adobe XD",Visual Design,2,UX/UI Designer
Bachelor,"Scrum,Product Strategy,Roadmap Planning,Stakeholder Management,User Research,Leadership","Product Development,Strategy",3,Product Manager
Master,"Data Visualization,Tableau,Python,NumPy,SQL,Statistics,TensorFlow","AI,Statistics,Data Analysis",0,Data Scientist
Master,"Risk Assessment,Linux,Cryptography,Penetration Testing,Python,SIEM,Firewalls,Network Security","Risk Management,Security",1,Cybersecurity Analyst
Bachelor,"Risk Assessment,Ethical Hacking,Network Security,Penetration Testing,Python","Risk Management,Security,Network Protection",3,Cybersecurity Analyst
Bachelor,"Algorithms,C++,Data Structures,React,Node.js","Web Development,Problem Solving",1,Software Engineer
PhD,"PyTorch,Deep Learning,Statistics,R,TensorFlow,SQL",Statistics,0,Data Scientist
Master,"Python,Cryptography,SIEM,Risk Assessment,Firewalls",Security,0,Cybersecurity Analyst
Bachelor,"Agile,Leadership,Stakeholder Management,Data Analysis,User Research,SQL","Strategy,Innovation",0,Product Manager
Master,"Data Analysis,Scrum,Stakeholder Management,Roadmap Planning,SQL,Agile,User Research,Product Strategy,Leadership",Leadership,1,Product Manager
Bachelor,"C++,AWS,Docker,API Development,Python","Software Development,Problem Solving,Web Development",1,Software Engineer
Bachelor,"Data Visualization,NumPy,Deep Learning,TensorFlow,Tableau,SQL,Statistics,Pandas,R","AI,Statistics",2,Data Scientist
Bachelor,"Python,Linux,Azure,Ansible,CI/CD,AWS","Automation,Cloud Computing",2,DevOps Engineer
PhD,"Data Visualization,Deep Learning,TensorFlow,PyTorch,Tableau,Machine Learning","AI,Machine Learning,Data Analysis",1,Data Scientist
Bachelor,"Wireframing,Prototyping,User Research,Usability Testing,Figma,CSS,HTML,Adobe XD,Design Thinking",User Experience,0,UX/UI Designer
Master,"Python,Data Structures,React,AWS,API Development,Node.js,Git,JavaScript,C++,Docker",Web Development,0,Software Engineer
Bachelor,"Cryptography,Firewalls,Penetration Testing,SIEM,Network Security,Ethical Hacking,Risk Assessment","Risk Management,Ethical Hacking,Network Protection",1,Cybersecurity Analyst
Master,"Penetration Testing,Python,Network Security,Ethical Hacking,Risk Assessment,Firewalls,Cryptography","Risk Management,Ethical Hacking",1,Cybersecurity Analyst
Master,"Penetration Testing,Ethical Hacking,Firewalls,Cryptography,Linux,Network Security",Security,1,Cybersecurity Analyst
Bachelor,"Prototyping,Adobe XD,Design Thinking,User Research,Usability Testing,Wireframing","Product Development,User Experience,Visual Design",2,UX/UI Designer
Bachelor,"Product Strategy,Leadership,Agile,Scrum,SQL,Data Analysis","Leadership,Product Development,Strategy",1,Product Manager
Bachelor,"CI/CD,Git,Bash,Python,Docker,Kubernetes","Cloud Computing,System Administration,Automation",0,DevOps Engineer
Master,"Product Strategy,Scrum,User Research,Data Analysis,Leadership,Roadmap Planning,SQL,Agile,Stakeholder Management","Product Development,Strategy,Leadership",0,Product Manager
Bachelor,"Wireframing,Design Thinking,Prototyping,User Research,Usability Testing,Adobe XD","User Experience,Design,Visual Design",2,UX/UI Designer
Master,"Roadmap Planning,Leadership,SQL,Data Analysis,Product Strategy,User Research,Scrum,Agile,Stakeholder Management","Product Development,Innovation",2,Product Manager
Bachelor,"Data Structures,C++,API Development,JavaScript,SQL","Problem Solving,Software Development,Web Development",0,Software Engineer
Master,"CI/CD,Docker,Azure,Kubernetes,Terraform,Jenkins,Git","System Administration,Cloud Computing,Automation",1,DevOps Engineer
Master,"Ethical Hacking,Cryptography,Risk Assessment,Python,SIEM,Firewalls,Network Security,Linux,Penetration Testing","Ethical Hacking,Network Protection,Risk Management",1,Cybersecurity Analyst
Bachelor,"Bash,Azure,Ansible,Jenkins,Docker,CI/CD,Kubernetes,AWS,Python","Infrastructure,Cloud Computing",1,DevOps Engineer
Bachelor,"SQL,Git,C++,Algorithms,Python,React,JavaScript,Data Structures","Problem Solving,Web Development,Software Development",1,Software Engineer
Bachelor,"Bash,Linux,Jenkins,Azure,Git,Ansible",System Administration,1,DevOps Engineer
Bachelor,"Python,Data Visualization,TensorFlow,Statistics,Machine Learning,NumPy,Pandas","Research,Machine Learning",1,Data Scientist
PhD,"Machine Learning,Tableau,Data Visualization,TensorFlow,Python,PyTorch,Deep Learning","Statistics,Machine Learning,AI",1,Data Scientist
Bachelor,"Git,API Development,Data Structures,Algorithms,Docker,Python,AWS","Problem Solving,Mobile Apps",1,Software Engineer
Bachelor,"Python,NumPy,R,SQL,TensorFlow,Deep Learning","Research,Machine Learning",0,Data Scientist
Bachelor,"Kubernetes,AWS,Git,Python,Terraform,Azure",Cloud Computing,1,DevOps Engineer
Master,"Bash,Python,Docker,Kubernetes,AWS,Azure,Git","System Administration,Infrastructure",0,DevOps Engineer
Bachelor,"Network Security,Ethical Hacking,Risk Assessment,Python,Firewalls,Linux,SIEM,Penetration Testing,Cryptography",Security,0,Cybersecurity Analyst
Master,"Statistics,Python,PyTorch,SQL,Machine Learning,R,Data Visualization,TensorFlow","Statistics,Data Analysis,Research",0,Data Scientist
Bachelor,"Linux,Bash,Azure,Python,Jenkins,Docker,AWS,Git",Automation,2,DevOps Engineer
PhD,"Machine Learning,SQL,NumPy,Python,Deep Learning,Tableau,Data Visualization","Research,AI",3,Data Scientist
Master,"JavaScript,C++,Node.js,API Development,Algorithms,SQL","Web Development,Mobile Apps,Software Development",2,Software Engineer
Bachelor,"Cryptography,Network Security,Python,Ethical Hacking,Linux,Penetration Testing","Risk Management,Ethical Hacking",0,Cybersecurity Analyst
Bachelor,"Usability Testing,HTML,CSS,User Research,Adobe XD","Visual Design,User Experience,Design",3,UX/UI Designer
Bachelor,"Linux,AWS,Jenkins,Azure,CI/CD,Git",Infrastructure,0,DevOps Engineer
Bachelor,"Stakeholder Management,Leadership,Scrum,Data Analysis,User Research,Roadmap Planning,Agile,SQL","Leadership,Innovation,Strategy",1,Product Manager
PhD,"Python,Machine Learning,Deep Learning,Pandas,NumPy,R,TensorFlow,Data Visualization,Tableau,Statistics","Data Analysis,Statistics,Research",0,Data Scientist
Master,"SIEM,Firewalls,Risk Assessment,Network Security,Python,Penetration Testing,Linux","Network Protection,Ethical Hacking,Risk Management",0,Cybersecurity Analyst
Master,"Penetration Testing,Cryptography,SIEM,Ethical Hacking,Firewalls","Ethical Hacking,Network Protection",1,Cybersecurity Analyst
Master,"API Development,React,C++,SQL,Docker","Mobile Apps,Web Development,Problem Solving",2,Software Engineer
Bachelor,"API Development,Docker,JavaScript,Git,Algorithms,Data Structures,AWS,React",Web Development,0,Software Engineer
Bachelor,"Bash,CI/CD,Azure,AWS,Git,Docker,Ansible,Linux",System Administration,2,DevOps Engineer
Bachelor,"Agile,Leadership,Roadmap Planning,User Research,Data Analysis,SQL","Leadership,Strategy",1,Product Manager
Bachelor,"Terraform,Linux,CI/CD,Docker,Ansible,Azure,Python,Jenkins,AWS","Infrastructure,System Administration",1,DevOps Engineer
Bachelor,"Bash,Terraform,AWS,Kubernetes,Docker,Jenkins,Ansible,Linux,CI/CD","Automation,Cloud Computing",1,DevOps Engineer
Bachelor,"User Research,Prototyping,CSS,Usability Testing,Adobe XD","Design,Visual Design,User Experience",1,UX/UI Designer
